profile_id,month,income,essentials,discretionary,debt_payment,total_expenses,savings,debt,credit_score,is_stressed
1,1,9542.71,2397.38,721.53,888.23,4007.14,32141.74,10658.75,684,0
1,2,9931.76,3507.5,893.66,888.23,5289.39,36784.11,10658.75,684,0
1,3,6524.05,2576.69,938.67,888.23,4403.59,38904.57,10658.75,684,0
1,4,9856.75,2946.12,1049.45,888.23,4883.8,43877.52,10658.75,684,0
1,5,9098.53,1885.48,1055.85,888.23,3829.56,49146.49,10658.75,684,0
1,6,6522.0,988.54,415.65,888.23,2292.42,53376.07,10658.75,684,0
1,7,5248.47,3018.57,913.5,888.23,4820.3,53804.24,10658.75,684,0
1,8,7364.98,3964.35,606.42,888.23,5459.0,55710.22,10658.75,684,0
1,9,6992.19,2867.5,724.73,888.23,4480.46,58221.95,10658.75,684,0
1,10,7090.34,1598.85,1201.31,888.23,3688.39,61623.9,10658.75,684,0
1,11,5840.75,4017.95,881.02,888.23,5787.2,61677.46,10658.75,684,0
1,12,8849.97,2629.18,881.4,888.23,4398.81,66128.62,10658.75,684,0
2,1,3828.16,2376.04,954.37,985.17,4315.59,12434.58,11822.06,669,0
2,2,4886.99,4654.69,963.07,985.17,6602.93,10718.65,11822.06,669,0
2,3,7994.19,2810.97,1049.03,985.17,4845.18,13867.66,11822.06,669,0
2,4,3861.61,2625.18,1037.02,985.17,4647.38,13081.89,11822.06,669,0
2,5,8052.97,3119.53,1325.97,985.17,5430.68,15704.17,11822.06,669,0
2,6,6690.23,4157.97,970.63,985.17,6113.77,16280.63,11822.06,669,0
2,7,9212.35,2596.87,796.4,985.17,4378.44,21114.55,11822.06,669,0
2,8,4022.08,4677.86,1187.0,985.17,6850.03,18286.6,11822.06,669,0
2,9,5284.85,3878.39,1154.55,985.17,6018.11,17553.35,11822.06,669,0
2,10,8600.97,1811.85,919.82,985.17,3716.84,22437.47,11822.06,669,0
2,11,5099.75,1497.2,1246.32,985.17,3728.7,23808.52,11822.06,669,0
2,12,5376.72,3502.01,1566.37,985.17,6053.55,23131.68,11822.06,669,0
3,1,7714.55,2853.75,1427.9,1129.4,5411.04,25666.11,13552.81,738,0
3,2,9838.75,1656.21,783.41,1129.4,3569.03,31935.83,13552.81,738,0
3,3,12361.21,3728.66,914.19,1129.4,5772.25,38524.79,13552.81,738,0
3,4,8605.04,3399.41,1337.14,1129.4,5865.95,41263.88,13552.81,738,0
3,5,5935.95,2675.88,1206.47,1129.4,5011.75,42188.09,13552.81,738,0
3,6,8763.62,3872.6,782.25,1129.4,5784.25,45167.47,13552.81,738,0
3,7,9790.42,4312.83,1266.85,1129.4,6709.08,48248.8,13552.81,738,0
3,8,9300.53,3306.98,893.68,1129.4,5330.06,52219.27,13552.81,738,0
3,9,8826.17,4455.24,1095.79,1129.4,6680.43,54365.01,13552.81,738,0
3,10,6988.57,2971.24,1186.11,1129.4,5286.76,56066.83,13552.81,738,0
3,11,8148.67,3799.28,1277.03,1129.4,6205.7,58009.79,13552.81,738,0
3,12,10985.49,4594.03,1410.58,1129.4,7134.01,61861.27,13552.81,738,0
4,1,3367.97,1488.86,491.71,557.89,2538.46,16289.44,6694.68,678,0
4,2,3916.98,1541.54,722.25,557.89,2821.68,17384.74,6694.68,678,0
4,3,4942.18,2707.92,581.67,557.89,3847.48,18479.44,6694.68,678,0
4,4,4366.31,1675.4,593.66,557.89,2826.95,20018.8,6694.68,678,0
4,5,5219.95,2542.6,439.99,557.89,3540.48,21698.28,6694.68,678,0
4,6,5718.73,1760.6,338.76,557.89,2657.25,24759.75,6694.68,678,0
4,7,5614.75,2204.06,438.34,557.89,3200.29,27174.21,6694.68,678,0
4,8,4697.18,951.75,382.32,557.89,1891.96,29979.43,6694.68,678,0
4,9,5941.15,1478.51,403.24,557.89,2439.64,33480.93,6694.68,678,0
4,10,4977.75,1455.08,492.22,557.89,2505.19,35953.49,6694.68,678,0
4,11,5577.82,1187.58,431.62,557.89,2177.09,39354.23,6694.68,678,0
4,12,4889.03,2079.29,730.58,557.89,3367.75,40875.5,6694.68,678,0
5,1,2909.19,2923.46,611.47,731.53,4266.46,0.0,8778.37,667,1
5,2,6103.37,2519.02,545.72,731.53,3796.27,2307.1,8778.37,667,1
5,3,3529.89,2623.19,924.04,731.53,4278.76,1558.23,8778.37,667,1
5,4,3988.18,2219.09,870.22,731.53,3820.85,1725.56,8778.37,667,1
5,5,4193.72,1484.91,582.85,731.53,2799.3,3119.98,8778.37,667,1
5,6,4298.59,2861.47,1027.07,731.53,4620.06,2798.51,8778.37,667,1
5,7,4851.16,2352.21,868.48,731.53,3952.22,3697.46,8778.37,667,1
5,8,3383.21,2110.52,580.81,731.53,3422.87,3657.8,8778.37,667,1
5,9,2792.49,2377.59,765.46,731.53,3874.58,2575.71,8778.37,667,1
5,10,4757.91,2494.22,775.91,731.53,4001.65,3331.96,8778.37,667,1
5,11,4624.91,2171.18,807.04,731.53,3709.75,4247.12,8778.37,667,1
5,12,3322.92,2397.43,853.77,731.53,3982.74,3587.31,8778.37,667,1
6,1,5515.69,2538.29,813.95,642.71,3994.96,7173.74,7712.58,757,0
6,2,8704.86,2878.81,612.31,642.71,4133.83,11744.77,7712.58,757,0
6,3,13490.11,1818.47,683.72,642.71,3144.9,22089.97,7712.58,757,0
6,4,6910.7,2107.62,776.98,642.71,3527.31,25473.36,7712.58,757,0
6,5,7455.27,2784.59,681.14,642.71,4108.44,28820.18,7712.58,757,0
6,6,8192.73,1489.97,709.96,642.71,2842.65,34170.26,7712.58,757,0
6,7,7416.69,1634.95,517.95,642.71,2795.62,38791.34,7712.58,757,0
6,8,12799.47,1801.14,408.61,642.71,2852.46,48738.34,7712.58,757,0
6,9,6334.31,1903.29,730.55,642.71,3276.55,51796.1,7712.58,757,0
6,10,8738.17,2254.3,539.1,642.71,3436.11,57098.15,7712.58,757,0
6,11,8326.93,1505.85,543.15,642.71,2691.72,62733.37,7712.58,757,0
6,12,5913.23,1355.3,813.71,642.71,2811.72,65834.88,7712.58,757,0
7,1,2947.8,3228.14,924.26,885.07,5037.47,14874.2,10620.86,754,1
7,2,6092.71,2907.48,666.67,885.07,4459.22,16507.69,10620.86,754,1
7,3,3294.44,2182.55,1010.07,885.07,4077.69,15724.44,10620.86,754,1
7,4,6175.64,1747.17,667.99,885.07,3300.23,18599.85,10620.86,754,1
7,5,4314.65,2418.03,583.69,885.07,3886.8,19027.7,10620.86,754,1
7,6,3394.49,2109.68,904.16,885.07,3898.91,18523.29,10620.86,754,1
7,7,3712.43,2578.34,1119.3,885.07,4582.71,17653.01,10620.86,754,1
7,8,3552.86,2518.18,1111.82,885.07,4515.06,16690.81,10620.86,754,1
7,9,4716.22,2274.41,1142.52,885.07,4302.0,17105.03,10620.86,754,1
7,10,4863.78,3388.38,979.99,885.07,5253.44,16715.36,10620.86,754,1
7,11,4815.53,2973.64,955.98,885.07,4814.68,16716.21,10620.86,754,1
7,12,6611.21,2291.22,894.19,885.07,4070.48,19256.94,10620.86,754,1
8,1,7039.4,1471.01,951.82,731.01,3153.83,16764.62,8772.06,743,0
8,2,9825.58,2742.28,991.79,731.01,4465.07,22125.12,8772.06,743,0
8,3,6438.97,1282.09,393.99,731.01,2407.08,26157.01,8772.06,743,0
8,4,6706.45,1868.46,563.87,731.01,3163.33,29700.13,8772.06,743,0
8,5,6205.52,2530.51,465.51,731.01,3727.03,32178.61,8772.06,743,0
8,6,5596.94,3020.81,534.49,731.01,4286.31,33489.24,8772.06,743,0
8,7,7675.25,1927.26,830.75,731.01,3489.02,37675.47,8772.06,743,0
8,8,8033.92,2599.43,897.16,731.01,4227.59,41481.8,8772.06,743,0
8,9,4489.38,2803.58,575.17,731.01,4109.76,41861.42,8772.06,743,0
8,10,6713.48,2334.6,819.66,731.01,3885.27,44689.63,8772.06,743,0
8,11,6835.49,1730.39,484.32,731.01,2945.71,48579.41,8772.06,743,0
8,12,7679.33,2294.9,941.06,731.01,3966.96,52291.78,8772.06,743,0
9,1,3907.28,2000.05,1122.42,795.44,3917.9,3270.2,9545.22,573,1
9,2,2810.71,2185.0,816.8,795.44,3797.24,2283.67,9545.22,573,1
9,3,2616.68,2583.49,1115.98,795.44,4494.9,405.46,9545.22,573,1
9,4,3158.16,2622.04,248.69,795.44,3666.16,0.0,9545.22,573,1
9,5,3564.49,2199.55,632.67,795.44,3627.66,0.0,9545.22,573,1
9,6,4572.69,2191.68,760.14,795.44,3747.25,825.44,9545.22,573,1
9,7,3260.09,1242.78,570.33,795.44,2608.54,1476.98,9545.22,573,1
9,8,4464.38,1127.56,643.05,795.44,2566.04,3375.33,9545.22,573,1
9,9,3239.82,3426.51,948.28,795.44,5170.22,1444.92,9545.22,573,1
9,10,3098.13,3164.55,648.18,795.44,4608.16,0.0,9545.22,573,1
9,11,4507.58,1575.63,1008.86,795.44,3379.93,1127.66,9545.22,573,1
9,12,3234.05,1772.72,752.25,795.44,3320.41,1041.29,9545.22,573,1
10,1,3850.01,2193.87,648.46,658.49,3500.82,767.56,7901.88,645,1
10,2,2965.28,2050.31,749.07,658.49,3457.87,274.97,7901.88,645,1
10,3,5051.11,2439.42,819.16,658.49,3917.07,1409.01,7901.88,645,1
10,4,5906.63,2230.28,738.27,658.49,3627.05,3688.59,7901.88,645,1
10,5,3919.71,1477.17,585.41,658.49,2721.08,4887.22,7901.88,645,1
10,6,2911.3,2295.3,629.82,658.49,3583.61,4214.91,7901.88,645,1
10,7,3448.25,2512.53,800.58,658.49,3971.6,3691.56,7901.88,645,1
10,8,3198.32,1644.58,845.38,658.49,3148.45,3741.42,7901.88,645,1
10,9,3977.93,1182.19,606.94,658.49,2447.62,5271.74,7901.88,645,1
10,10,3470.99,2360.11,808.31,658.49,3826.91,4915.82,7901.88,645,1
10,11,3569.64,2264.5,669.05,658.49,3592.04,4893.42,7901.88,645,1
10,12,2771.57,1846.44,661.62,658.49,3166.55,4498.45,7901.88,645,1
11,1,4161.85,2312.77,921.86,821.62,4056.25,2031.98,9859.47,589,1
11,2,3269.2,1461.64,750.11,821.62,3033.37,2267.81,9859.47,589,1
11,3,5331.95,3504.77,982.28,821.62,5308.67,2291.09,9859.47,589,1
11,4,2833.49,2321.68,874.34,821.62,4017.64,1106.94,9859.47,589,1
11,5,4675.52,2797.2,633.26,821.62,4252.08,1530.38,9859.47,589,1
11,6,4549.44,2723.88,991.22,821.62,4536.72,1543.1,9859.47,589,1
11,7,3575.01,2252.18,266.24,821.62,3340.04,1778.06,9859.47,589,1
11,8,3781.22,2141.71,612.19,821.62,3575.53,1983.75,9859.47,589,1
11,9,4662.11,2430.39,357.57,821.62,3609.58,3036.28,9859.47,589,1
11,10,4717.95,1892.82,921.39,821.62,3635.83,4118.4,9859.47,589,1
11,11,3042.12,2483.36,763.46,821.62,4068.44,3092.09,9859.47,589,1
11,12,4815.99,2541.71,769.21,821.62,4132.54,3775.53,9859.47,589,1
12,1,8366.79,3886.8,1042.25,1120.47,6049.52,5182.38,13445.61,695,0
12,2,7486.72,3127.7,1183.73,1120.47,5431.91,7237.2,13445.61,695,0
12,3,10668.65,4939.9,933.09,1120.47,6993.46,10912.38,13445.61,695,0
12,4,9685.96,3719.5,1113.91,1120.47,5953.87,14644.47,13445.61,695,0
12,5,8632.29,2059.48,977.37,1120.47,4157.33,19119.44,13445.61,695,0
